# 杰哥短线策略股票池 - 20260608
# 生成时间: 2026-06-08
# 策略来源: 短线杰哥擒龙《0607复盘：再跌是机会》《0525复盘：还是拥抱核心吧》
# 策略逻辑: 科技核心方向，再跌是机会。聚焦光纤/CPO/玻璃基板/MLCC/电感/半导体封测
#
# 分类说明:
#   core_tech   - 科技核心方向（光纤/CPO/MLCC/电感/玻璃基板），杰哥强调的主线
#   semi        - 半导体封测/设备，0525文章强调的修复方向
#   new_direction - 新题材观察（机器人/物理AI/商业航天）
#   watch       - 绕异动品种，保持跟踪
#
# 格式: 市场,代码,名称,分类

# ========== 科技核心方向（光纤） ==========
SH,600487,亨通光电,core_tech
SH,600869,远东股份,core_tech
SH,601869,长飞光纤,core_tech
SZ,002491,通鼎互联,core_tech

# ========== 科技核心方向（CPO/光模块） ==========
SZ,002384,东山精密,core_tech
SZ,301205,联特科技,core_tech
SZ,300308,中际旭创,core_tech

# ========== 科技核心方向（玻璃基板） ==========
SH,603773,沃格光电,core_tech
SZ,000725,京东方A,core_tech
SZ,002613,北玻股份,core_tech
SH,600552,凯盛科技,core_tech

# ========== 科技核心方向（MLCC） ==========
SZ,000636,风华高科,core_tech
SZ,300285,国瓷材料,core_tech
SZ,002484,江海股份,core_tech

# ========== 科技核心方向（电感补涨） ==========
SZ,300319,麦捷科技,core_tech
SZ,002138,顺络电子,core_tech

# ========== 半导体封测/设备（0525修复方向） ==========
SH,603986,兆易创新,semi
SH,600584,长电科技,semi
SZ,002156,通富微电,semi
SZ,002938,鹏鼎控股,semi
SZ,002463,沪电股份,semi
SZ,300476,胜宏科技,semi
SH,688981,中芯国际,semi
SH,688347,华虹公司,semi
SZ,002185,华天科技,semi
SH,603005,晶方科技,semi
SH,688072,拓荆科技,semi

# ========== 新方向观察（机器人/物理AI/商业航天） ==========
SZ,002354,天娱数科,new_direction
SZ,002421,达实智能,new_direction

# ========== 绕异动品种跟踪 ==========
SH,600162,香江控股,watch
SH,603011,合锻智能,watch
SZ,002552,宝鼎科技,watch
