# 杰哥短线策略股票池 - 20260610
# 生成时间: 2026-06-10
# 策略来源: 短线杰哥擒龙《0609复盘：震荡行情波动大》《0607复盘：再跌是机会》
# 策略逻辑: 震荡行情，核心方向分支龙抱团。科技核心（光纤/CPO/MLCC/CCL/玻璃基板/电感）
#           做分歧低吸；电力/物理AI做科技分歧时的跷跷板。
#
# 分类说明:
#   core_tech   - 科技核心方向（已新高或趋势完好）
#   ccl         - CCL涨价新方向（日内最强，刚启动）
#   physical_ai - 物理AI/机器人（持续性观察，分歧切核心）
#   electric    - 电力三龙（科技分歧时的跷跷板）
#   watch       - 其他跟踪品种
#
# 格式: 市场,代码,名称,分类

# ========== 科技核心方向（光纤/CPO/MLCC/玻璃基板/电感） ==========
SH,600487,亨通光电,core_tech
SH,601869,长飞光纤,core_tech
SH,600522,中天科技,core_tech
SZ,002384,东山精密,core_tech
SZ,301205,联特科技,core_tech
SZ,300308,中际旭创,core_tech
SZ,000636,风华高科,core_tech
SZ,300285,国瓷材料,core_tech
SZ,300408,三环集团,core_tech
SZ,301013,利和兴,core_tech
SZ,002484,江海股份,core_tech
SZ,300319,麦捷科技,core_tech
SZ,002138,顺络电子,core_tech
SH,603773,沃格光电,core_tech
SZ,000725,京东方A,core_tech

# ========== CCL涨价（新方向，刚启动） ==========
SH,605589,圣泉集团,ccl
SZ,002669,康达新材,ccl
SZ,002636,金安国纪,ccl
SH,601208,东材科技,ccl

# ========== 物理AI/机器人（分歧切核心） ==========
SZ,002354,天娱数科,physical_ai
SZ,002421,达实智能,physical_ai
SZ,002747,埃斯顿,physical_ai
SH,688507,索辰科技,physical_ai
SH,688207,格灵深瞳,physical_ai
SZ,301313,凡拓数创,physical_ai

# ========== 电力三龙（科技分歧跷跷板） ==========
SZ,001896,豫能控股,electric
SH,601991,大唐发电,electric
SH,600027,华电国际,electric

# ========== 半导体封测/设备 ==========
SH,603986,兆易创新,semi
SH,600584,长电科技,semi
SZ,002156,通富微电,semi
SH,688981,中芯国际,semi
SH,688072,拓荆科技,semi
SZ,002185,华天科技,semi
SH,603005,晶方科技,semi

# ========== 其他观察 ==========
SZ,002938,鹏鼎控股,watch
SZ,002463,沪电股份,watch
SZ,300476,胜宏科技,watch
