datetime,near_open,near_high,near_low,near_close,near_vol,near_hold,symbol_x,far_open,far_high,far_low,far_close,far_vol,far_hold,symbol_y,product,near_symbol,far_symbol,raw_basis,raw_annualized_rate,dividend_adjusted_basis,adj_annualized_rate,dividend_between,days_to_near_expiry,days_to_far_expiry,near_expiry,far_expiry
2026-03-25 13:50:00,4461.4,4462.2,4454.0,4456.8,371,137144,IF2606,4376.4,4377.0,4368.8,4370.4,183,64399,IF2609,IF,IF2606,IF2609,-86.40000000000055,-7.775746063306692,-41.400000000000546,-3.725878322001149,45.0,55,146,2026-06-19,2026-09-18
2026-03-25 13:55:00,4452.8,4452.8,4444.6,4446.8,362,137372,IF2606,4370.4,4371.2,4359.8,4362.8,5,64444,IF2609,IF,IF2606,IF2609,-84.0,-7.576753551386995,-39.0,-3.5177784345725334,45.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:00:00,4446.6,4454.4,4445.6,4453.8,224,137637,IF2606,4362.0,4369.4,4360.8,4369.4,168,64547,IF2609,IF,IF2606,IF2609,-84.40000000000055,-7.600868304088074,-39.400000000000546,-3.5482726443255017,45.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:05:00,4453.4,4456.0,4445.4,4447.4,808,137795,IF2606,4369.4,4370.6,4357.4,4359.2,357,64716,IF2609,IF,IF2606,IF2609,-88.19999999999982,-7.954517937878987,-43.19999999999982,-3.8960904185529643,45.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:10:00,4447.4,4447.8,4442.6,4443.4,317,138050,IF2606,4359.2,4360.2,4354.0,4355.2,154,64896,IF2609,IF,IF2606,IF2609,-88.19999999999982,-7.961678686799073,-43.19999999999982,-3.8995977241464765,45.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:15:00,4443.8,4447.2,4439.4,4440.8,1,138296,IF2606,4355.2,4358.6,4353.0,4354.4,51,64929,IF2609,IF,IF2606,IF2609,-86.40000000000055,-7.803761721974705,-41.400000000000546,-3.739302491779571,45.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:20:00,4440.6,4445.8,4440.0,4445.4,127,138461,IF2606,4354.4,4359.2,4353.0,4358.2,15,64999,IF2609,IF,IF2606,IF2609,-87.19999999999982,-7.867868847758154,-42.19999999999982,-3.8076154286168964,45.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:25:00,4444.0,4451.4,4443.6,4449.6,851,138515,IF2606,4358.0,4364.6,4358.0,4362.4,98,65017,IF2609,IF,IF2606,IF2609,-87.20000000000073,-7.860442326461809,-42.20000000000073,-3.8040214011088445,45.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:30:00,4449.6,4450.4,4445.2,4445.8,517,138611,IF2606,4362.4,4363.6,4358.8,4359.6,95,65028,IF2609,IF,IF2606,IF2609,-86.19999999999982,-7.776941219741147,-41.19999999999982,-3.71705311198764,45.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:35:00,4445.6,4454.8,4445.6,4454.2,817,138832,IF2606,4359.6,4370.0,4359.6,4369.4,341,65212,IF2609,IF,IF2606,IF2609,-84.80000000000018,-7.636205561758988,-39.80000000000018,-3.5839738367689673,45.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:40:00,4454.2,4455.0,4450.0,4452.8,139,139003,IF2606,4369.4,4370.0,4364.2,4367.2,11,65259,IF2609,IF,IF2606,IF2609,-85.60000000000036,-7.710668777862486,-40.600000000000364,-3.6571629951076914,45.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:45:00,4452.8,4454.4,4451.2,4452.6,705,139239,IF2606,4367.2,4368.6,4365.6,4366.4,91,65289,IF2609,IF,IF2606,IF2609,-86.20000000000073,-7.765064293834064,-41.20000000000073,-3.711376437424205,45.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:50:00,4452.4,4454.8,4450.8,4454.2,308,139495,IF2606,4366.4,4368.8,4365.2,4368.4,94,65343,IF2609,IF,IF2606,IF2609,-85.80000000000018,-7.726255155647656,-40.80000000000018,-3.674023430657635,45.0,55,146,2026-06-19,2026-09-18
2026-03-25 14:55:00,4454.2,4454.8,4451.0,4451.0,497,139892,IF2606,4368.4,4368.4,4365.8,4365.8,89,65422,IF2609,IF,IF2606,IF2609,-85.19999999999982,-7.6777412656990105,-40.19999999999982,-3.62259623099882,45.0,55,146,2026-06-19,2026-09-18
2026-03-25 15:00:00,4450.8,4452.4,4450.0,4450.0,254,140576,IF2606,4366.0,4367.2,4364.4,4364.4,65,65477,IF2609,IF,IF2606,IF2609,-85.60000000000036,-7.715520434621591,-40.600000000000364,-3.6594641313742766,45.0,55,146,2026-06-19,2026-09-18
2026-03-26 09:35:00,4442.2,4458.6,4442.2,4452.8,3277,138756,IF2606,4354.4,4373.0,4354.4,4366.0,494,65158,IF2609,IF,IF2606,IF2609,-86.80000000000018,-7.8187622654025954,-41.80000000000018,-3.765256482647803,45.0,55,146,2026-06-19,2026-09-18
2026-03-26 09:40:00,4452.8,4458.0,4450.4,4454.6,1413,138112,IF2606,4366.0,4371.6,4364.4,4368.2,185,65073,IF2609,IF,IF2606,IF2609,-86.40000000000055,-7.779586282706701,-41.400000000000546,-3.7277184271303194,45.0,55,146,2026-06-19,2026-09-18
2026-03-26 09:45:00,4457.6,4462.0,4453.0,4454.8,1358,137348,IF2606,4368.2,4375.2,4366.8,4368.6,300,64909,IF2609,IF,IF2606,IF2609,-86.19999999999982,-7.761229522026845,-41.19999999999982,-3.7095435766531946,45.0,55,146,2026-06-19,2026-09-18
2026-03-26 09:50:00,4454.8,4458.6,4449.0,4451.0,1387,136725,IF2606,4368.6,4372.0,4363.4,4366.2,165,64821,IF2609,IF,IF2606,IF2609,-84.80000000000018,-7.6416955320572635,-39.80000000000018,-3.586550497357073,45.0,55,146,2026-06-19,2026-09-18
2026-03-26 09:55:00,4453.0,4453.8,4448.0,4451.2,869,136336,IF2606,4366.2,4368.0,4362.2,4366.0,113,64759,IF2609,IF,IF2606,IF2609,-85.19999999999982,-7.677396291702529,-40.19999999999982,-3.622433461577945,45.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:00:00,4451.2,4458.8,4451.0,4458.0,867,135961,IF2606,4366.0,4372.6,4365.0,4372.2,184,64646,IF2609,IF,IF2606,IF2609,-85.80000000000018,-7.719669294366483,-40.80000000000018,-3.6708916924260286,45.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:05:00,4456.4,4460.4,4454.0,4458.6,1171,135500,IF2606,4372.2,4374.0,4368.6,4371.2,145,64581,IF2609,IF,IF2606,IF2609,-87.40000000000055,-7.862567612264875,-42.400000000000546,-3.8143348599546094,45.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:10:00,4458.6,4460.2,4451.2,4453.0,994,135213,IF2606,4369.4,4374.4,4363.0,4365.4,252,64420,IF2609,IF,IF2606,IF2609,-87.60000000000036,-7.890470185552184,-42.600000000000364,-3.837146460097312,45.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:15:00,4452.6,4458.8,4451.0,4455.8,769,134911,IF2606,4365.4,4370.6,4363.8,4369.2,111,64361,IF2609,IF,IF2606,IF2609,-86.60000000000036,-7.795494599211135,-41.600000000000364,-3.7447179598982063,45.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:20:00,4455.8,4457.6,4452.2,4453.6,817,134840,IF2606,4368.4,4370.0,4366.6,4366.6,54,64341,IF2609,IF,IF2606,IF2609,-87.0,-7.835370126550294,-42.0,-3.782592474886349,45.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:25:00,4453.6,4458.0,4447.8,4448.0,766,134563,IF2606,4366.6,4370.8,4361.0,4361.0,101,64324,IF2609,IF,IF2606,IF2609,-87.0,-7.845234801170052,-42.0,-3.787354731599336,45.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:30:00,4448.2,4450.8,4446.0,4448.6,842,134289,IF2606,4361.0,4363.4,4359.8,4362.8,95,64315,IF2609,IF,IF2606,IF2609,-85.80000000000018,-7.735981143345273,-40.80000000000018,-3.678648375856502,45.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:35:00,4450.4,4454.4,4445.2,4446.8,1003,134131,IF2606,4362.8,4367.8,4358.8,4360.2,145,64262,IF2609,IF,IF2606,IF2609,-86.60000000000036,-7.811272113691863,-41.600000000000364,-3.7522969968774014,45.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:40:00,4447.0,4448.6,4442.4,4443.6,1085,133873,IF2606,4360.2,4361.4,4356.0,4358.0,129,64225,IF2609,IF,IF2606,IF2609,-85.60000000000036,-7.726632895414995,-40.600000000000364,-3.664734761143111,45.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:45:00,4444.0,4450.2,4443.4,4448.2,659,133744,IF2606,4358.0,4363.4,4358.0,4361.4,86,64199,IF2609,IF,IF2606,IF2609,-86.80000000000018,-7.826847852026591,-41.80000000000018,-3.76915023288839,45.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:50:00,4448.4,4449.8,4443.4,4447.0,654,133607,IF2606,4361.4,4362.4,4356.0,4358.4,94,64152,IF2609,IF,IF2606,IF2609,-88.60000000000036,-7.991311589242811,-43.600000000000364,-3.9325190213429804,45.0,55,146,2026-06-19,2026-09-18
2026-03-26 10:55:00,4447.0,4448.2,4442.0,4445.6,668,133478,IF2606,4358.4,4360.4,4355.2,4357.4,108,64095,IF2609,IF,IF2606,IF2609,-88.20000000000073,-7.957738680250892,-43.20000000000073,-3.897667925020878,45.0,55,146,2026-06-19,2026-09-18
