rank,score,z_entry,tp_pts,sl_pts,time_exit_bars,total_pnl,total_trades,win_rate,sharpe,max_dd,ann_ret,profit_factor,avg_hold_hours
1,48.48,1.25,2.5,10.0,288,304563.4072799987,661,85.63,0.165,-12.576,42.4,2.131,1.08
2,48.48,1.25,2.5,10.0,432,304563.4072799987,661,85.63,0.165,-12.576,42.4,2.131,1.08
3,48.46,1.25,2.5,10.0,144,305614.9055999992,666,85.44,0.164,-12.657,42.55,2.121,1.07
4,48.09,1.5,2.5,10.0,288,294739.69849999674,557,85.82,0.148,-12.33,41.04,2.252,1.02
5,48.09,1.5,2.5,10.0,432,294739.69849999674,557,85.82,0.148,-12.33,41.04,2.252,1.02
6,48.07,1.5,2.5,10.0,144,295210.384939997,559,85.69,0.147,-12.366,41.1,2.245,1.01
7,47.77,2.0,2.5,10.0,288,271490.1739399993,366,86.07,0.144,-11.075,37.8,2.749,0.9
8,47.77,2.0,2.5,10.0,432,271490.1739399993,366,86.07,0.144,-11.075,37.8,2.749,0.9
9,47.7,2.0,2.5,10.0,144,271485.7779799994,367,85.83,0.144,-11.075,37.8,2.743,0.89
10,47.49,1.25,3.0,10.0,288,295427.2625200008,610,84.1,0.152,-13.046,41.13,2.072,1.2
11,47.49,1.25,3.0,10.0,432,295427.2625200008,610,84.1,0.152,-13.046,41.13,2.072,1.2
12,47.41,1.25,3.0,10.0,144,295287.8701600011,613,83.85,0.152,-13.035,41.11,2.059,1.19
13,47.21,1.5,3.0,10.0,288,288701.6500800013,500,83.8,0.144,-12.925,40.19,2.192,1.2
14,47.21,1.5,3.0,10.0,432,288701.6500800013,500,83.8,0.144,-12.925,40.19,2.192,1.2
15,47.18,1.5,3.0,10.0,144,289172.33652000147,502,83.67,0.144,-12.961,40.26,2.186,1.19
16,46.93,1.5,2.5,8.0,288,288049.14673999813,610,83.11,0.15,-11.58,40.1,2.092,0.9
17,46.93,1.5,2.5,8.0,432,288049.14673999813,610,83.11,0.15,-11.58,40.1,2.092,0.9
18,46.93,1.25,2.5,8.0,288,291684.7921599999,729,83.13,0.155,-12.557,40.61,1.927,0.95
19,46.93,1.25,2.5,8.0,432,291684.7921599999,729,83.13,0.155,-12.557,40.61,1.927,0.95
20,46.92,1.25,2.5,8.0,144,292736.29048000026,734,82.97,0.154,-12.638,40.75,1.921,0.94
21,46.91,1.5,2.5,8.0,144,288519.8331799984,612,83.01,0.149,-11.617,40.17,2.087,0.89
22,46.73,1.75,2.5,10.0,288,268271.09174000006,462,85.28,0.134,-11.321,37.35,2.302,0.95
23,46.73,1.75,2.5,10.0,432,268271.09174000006,462,85.28,0.134,-11.321,37.35,2.302,0.95
24,46.71,1.75,2.5,10.0,144,268676.9088799996,465,85.16,0.134,-11.353,37.41,2.291,0.94
25,46.2,2.0,3.0,10.0,288,256570.85886000074,338,83.73,0.136,-11.176,35.72,2.559,1.04
26,46.2,2.0,3.0,10.0,432,256570.85886000074,338,83.73,0.136,-11.176,35.72,2.559,1.04
