rank,score,z_entry,tp_pts,sl_pts,time_exit_bars,total_pnl,total_trades,win_rate,sharpe,max_dd,ann_ret,profit_factor,avg_hold_hours,oos_pnl,oos_trades,oos_win_rate,oos_sharpe,oos_max_dd,oos_ann_ret,oos_profit_factor
1,55.57,2.0,2.5,8.0,288,443712.8278999986,714,82.77,0.048,-15.124,70.13,2.358,0.82,135566.67699999866,75.0,96.0,0.143,-5.544,171.88,19.737
2,55.57,2.0,2.5,8.0,432,443712.8278999986,714,82.77,0.048,-15.124,70.13,2.358,0.82,135566.67699999866,75.0,96.0,0.143,-5.544,171.88,19.737
3,55.46,2.0,2.5,8.0,144,442363.5688399984,716,82.68,0.048,-15.124,69.92,2.343,0.81,135566.67699999866,75.0,96.0,0.143,-5.544,171.88,19.737
4,55.07,2.0,3.0,8.0,288,442667.7481800015,681,81.35,0.044,-15.463,69.97,2.325,0.89,136397.72139999882,72.0,95.83,0.144,-5.779,172.94,19.852
5,55.07,2.0,3.0,8.0,432,442667.7481800015,681,81.35,0.044,-15.463,69.97,2.325,0.89,136397.72139999882,72.0,95.83,0.144,-5.779,172.94,19.852
6,54.91,2.0,3.0,8.0,144,441078.72096000146,683,81.11,0.044,-15.463,69.71,2.308,0.88,136397.72139999882,72.0,95.83,0.144,-5.779,172.94,19.852
7,54.28,2.0,2.5,6.0,288,439316.2836999966,779,79.2,0.044,-15.313,69.44,2.25,0.73,135566.67699999866,75.0,96.0,0.143,-5.544,171.88,19.737
8,54.28,2.0,2.5,6.0,432,439316.2836999966,779,79.2,0.044,-15.313,69.44,2.25,0.73,135566.67699999866,75.0,96.0,0.143,-5.544,171.88,19.737
9,54.25,2.0,2.5,6.0,144,439311.8877399966,780,79.1,0.044,-15.313,69.43,2.248,0.72,135566.67699999866,75.0,96.0,0.143,-5.544,171.88,19.737
10,54.21,2.0,2.5,10.0,288,408704.1437800006,673,84.25,0.062,-12.651,64.6,2.251,0.89,135566.67699999866,75.0,96.0,0.143,-5.544,171.88,19.737
11,54.21,2.0,2.5,10.0,432,408704.1437800006,673,84.25,0.062,-12.651,64.6,2.251,0.89,,,,,,,
12,54.1,2.0,2.5,10.0,144,407354.88472000055,675,84.15,0.063,-12.651,64.38,2.237,0.88,,,,,,,
13,53.93,1.25,2.5,10.0,288,411680.2168399999,1275,85.02,0.074,-11.864,65.0,1.711,0.98,,,,,,,
14,53.93,1.25,2.5,10.0,432,411680.2168399999,1275,85.02,0.074,-11.864,65.0,1.711,0.98,,,,,,,
15,53.89,1.25,2.5,10.0,144,411602.1821600003,1282,84.95,0.074,-11.947,64.99,1.704,0.97,,,,,,,
16,53.87,2.0,3.0,6.0,288,438945.39158000035,736,77.85,0.041,-15.618,69.38,2.241,0.8,,,,,,,
17,53.87,2.0,3.0,6.0,432,438945.39158000035,736,77.85,0.041,-15.618,69.38,2.241,0.8,,,,,,,
18,53.78,1.75,2.5,10.0,288,406616.89944000385,881,84.79,0.054,-14.438,64.27,1.972,0.88,,,,,,,
19,53.78,1.75,2.5,10.0,432,406616.89944000385,881,84.79,0.054,-14.438,64.27,1.972,0.88,,,,,,,
20,53.77,2.0,3.0,6.0,144,438341.27990000026,737,77.61,0.041,-15.618,69.28,2.236,0.79,,,,,,,
21,53.77,1.75,2.5,10.0,144,406733.1283800032,886,84.76,0.054,-14.438,64.29,1.964,0.87,,,,,,,
22,53.72,1.75,2.5,8.0,288,414987.2519200042,926,83.15,0.049,-15.122,65.59,1.955,0.83,,,,,,,
23,53.72,1.75,2.5,8.0,432,414987.2519200042,926,83.15,0.049,-15.122,65.59,1.955,0.83,,,,,,,
24,53.71,1.75,2.5,8.0,144,415103.48086000344,931,83.14,0.049,-15.122,65.61,1.947,0.82,,,,,,,
25,53.62,1.25,2.5,8.0,288,419800.52880000055,1404,82.91,0.064,-13.131,66.28,1.655,0.87,,,,,,,
26,53.62,1.25,2.5,8.0,432,419800.52880000055,1404,82.91,0.064,-13.131,66.28,1.655,0.87,,,,,,,
27,53.61,1.25,2.5,8.0,144,420012.074040001,1409,82.82,0.064,-13.131,66.32,1.651,0.86,,,,,,,
28,53.58,1.75,3.0,10.0,288,410408.4861200071,828,83.45,0.049,-14.862,64.87,1.971,0.99,,,,,,,
29,53.58,1.75,3.0,10.0,432,410408.4861200071,828,83.45,0.049,-14.862,64.87,1.971,0.99,,,,,,,
30,53.54,1.75,3.0,10.0,144,410049.71270000655,832,83.41,0.049,-14.862,64.81,1.961,0.98,,,,,,,
31,53.43,1.5,2.5,10.0,288,401202.47789999825,1058,84.88,0.07,-12.47,63.35,1.788,0.95,,,,,,,
32,53.43,1.5,2.5,10.0,432,401202.47789999825,1058,84.88,0.07,-12.47,63.35,1.788,0.95,,,,,,,
33,53.43,1.5,2.5,10.0,144,401503.50437999837,1062,84.84,0.07,-12.47,63.4,1.783,0.94,,,,,,,
34,53.41,2.0,3.0,10.0,288,402577.449340002,636,82.86,0.055,-13.322,63.63,2.198,0.98,,,,,,,
35,53.41,2.0,3.0,10.0,432,402577.449340002,636,82.86,0.055,-13.322,63.63,2.198,0.98,,,,,,,
36,53.25,2.0,3.0,10.0,144,400988.4221200019,638,82.6,0.055,-13.322,63.38,2.182,0.96,,,,,,,
37,53.25,1.5,2.5,8.0,144,410704.822279999,1160,82.67,0.066,-12.333,64.85,1.74,0.84,,,,,,,
38,53.25,1.5,2.5,8.0,288,410403.795799999,1156,82.7,0.066,-12.333,64.8,1.743,0.85,,,,,,,
39,53.25,1.5,2.5,8.0,432,410403.795799999,1156,82.7,0.066,-12.333,64.8,1.743,0.85,,,,,,,
40,53.23,1.75,3.0,8.0,288,413938.62912000826,874,81.69,0.045,-15.492,65.42,1.932,0.92,,,,,,,
41,53.23,1.75,3.0,8.0,432,413938.62912000826,874,81.69,0.045,-15.492,65.42,1.932,0.92,,,,,,,
42,53.2,1.75,3.0,8.0,144,413579.8557000078,878,81.66,0.045,-15.492,65.37,1.924,0.91,,,,,,,
43,52.81,2.0,4.0,8.0,288,412918.2817000011,603,78.61,0.05,-13.733,65.26,2.192,1.1,,,,,,,
44,52.81,2.0,4.0,8.0,432,412918.2817000011,603,78.61,0.05,-13.733,65.26,2.192,1.1,,,,,,,
45,52.66,2.0,4.0,8.0,144,411629.08750000095,605,78.35,0.05,-13.733,65.06,2.179,1.08,,,,,,,
46,51.93,1.25,3.0,10.0,288,380495.21474000294,1198,83.72,0.071,-12.079,60.08,1.635,1.06,,,,,,,
47,51.93,1.25,3.0,10.0,432,380495.21474000294,1198,83.72,0.071,-12.079,60.08,1.635,1.06,,,,,,,
